name,rank,active_time_hours,kills,vs_kills,nc_kills,nso_kills,teamkills,headshot_kills,kill_weapons,kill_vehicles,vehicle_destroys,deaths,vs_deaths,nc_deaths,nso_deaths,teamdeaths,self_kills,self_deaths,death_weapons,death_vehicles,facility_captures,facility_defends,marksman_ribbons,killstreak_ribbons,bountycontracts_ribbons,repair_ribbons,squadleadership_ribbons,pointcontrol_ribbons,piloting_ribbons,healing_ribbons,spotter_ribbons,objectivesupport_ribbons,savior_ribbons,reviving_ribbons,logistics_ribbons,resupply_ribbons
AIRCraftskyA,Friends of RAVE,0.75,14,9,1,0,1,1,"[[""Breaker Rocket Pods"", 7], [""M20 Mustang"", 2], [""NS-11P"", 2], [""MGR-S1 Gladius"", 1]]","[[""Reaver"", 11]]",8,14,8,0,0,0,0,0,"[[""M18 Needler"", 3], [""Saron Laser Cannon"", 3], [""G30 Walker"", 1], [""MG-C1 Kindred"", 1], [""G40-F Ranger"", 1], [""Nemesis VSH9"", 1], [""Spitfire Auto-Turret"", 1]]","[[""Scythe"", 4], [""Mosquito"", 3], [""Sunderer"", 1], [""ANT"", 1], [""Spitfire Auto-Turret"", 1], [""Galaxy"", 1]]",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Anywayyoudie,JJAM,0.75,39,24,1,0,1,12,"[[""Warden"", 34], [""Spitfire Auto-Turret"", 3], [""Proximity Mine"", 1]]","[[""Spitfire Auto-Turret"", 3]]",1,12,9,0,0,0,0,0,"[[""Orion VS54"", 3], [""Ghost"", 2], [""Pulsar C"", 1], [""VE-H Maw"", 1], [""LC2 Lynx"", 1], [""MSW-R"", 1], [""Lasher X2"", 1], [""AS16 NightHawk"", 1], [""Solstice VE3"", 1]]",[],4,9,0,2,0,0,0,4,0,1,1,0,0,1,0,0
BNinetySixNC,Friends of RAVE,0.75,7,0,0,0,0,1,"[[""NS-11P"", 3], [""M30 Mustang AH"", 3]]","[[""Reaver"", 3]]",0,12,0,0,0,0,9,9,"[[""MSW-R"", 2], [""NS-15M AE"", 2], [""M14 Banshee"", 2], [""NS-11P"", 1], [""TORQ-9"", 1], [""M60-A Bulldog"", 1], [""Hellfire Rocket Pods"", 1], [""M18 Needler"", 1]]","[[""Mosquito"", 4], [""Galaxy"", 1]]",5,1,0,0,0,0,0,5,0,0,0,0,0,1,0,0
CUREKINGNC,Friends of RAVE,0.75,24,13,0,0,0,8,"[[""PSA-02 Diamondback"", 14], [""MGR-A1 Vanquisher"", 6], [""Spitfire Auto-Turret"", 2], [""C-4"", 2]]","[[""Spitfire Auto-Turret"", 2]]",0,13,6,0,0,0,0,0,"[[""Orion VS54"", 2], [""NS-11A"", 2], [""CME"", 1], [""Spitfire Auto-Turret"", 1], [""TSAR-42"", 1], [""H-V45"", 1], [""Ghost"", 1], [""NS-15M AE"", 1], [""Claymore"", 1], [""Hoplon Anti-Aircraft Phalanx Tower"", 1], [""NS-15M2"", 1]]","[[""Spitfire Auto-Turret"", 1], [""Aspis Anti-Aircraft Phalanx Tower"", 1]]",5,8,0,1,0,0,0,1,0,1,1,0,1,1,0,0
ChargeAgain,JJAM,0.75,25,11,0,0,0,9,"[[""LA1 Anchor"", 23], [""NC05 Jackhammer AE"", 1], [""Hardlight Dagger"", 1]]",[],1,10,5,0,0,0,0,0,"[[""Plasma Grenade"", 1], [""NS-11P"", 1], [""MG-C1 Kindred"", 1], [""Orion VS54"", 1], [""Terminus VX-9"", 1], [""NS-15M AE"", 1], [""Ghost"", 1], [""NS-11A"", 1], [""NS-15M2"", 1], [""Xiphos Anti-Personnel Phalanx Tower"", 1]]","[[""Xiphos Anti-Personnel Tower"", 1]]",5,3,0,2,1,0,11,3,0,0,1,0,0,0,0,0
Coke3,Friends of RAVE,0.75,16,7,0,0,0,1,"[[""M20 Mustang"", 10], [""Breaker Rocket Pods"", 2], [""AF-4AE Cyclone"", 2]]","[[""Reaver"", 13]]",15,16,6,0,0,0,0,0,"[[""Skyguard"", 5], [""Saron Laser Cannon"", 3], [""M18 Needler"", 2], [""Coyote Missiles"", 1], [""C150 Dalton"", 1], [""MR11 Gatekeeper"", 1], [""NSX-P Tanto"", 1], [""Solstice VE3"", 1]]","[[""Lightning"", 5], [""Mosquito"", 3], [""Scythe"", 3], [""Liberator"", 1], [""Prowler"", 1]]",1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
DDangkuBoy,Friends of RAVE,0.75,30,12,3,0,3,8,"[[""GR-22"", 22], [""NS-357 Underboss"", 4], [""C-4"", 3], [""Spitfire Auto-Turret"", 1]]","[[""Spitfire Auto-Turret"", 1]]",1,16,5,0,0,0,5,5,"[[""NS-11P"", 3], [""Hellfire Rocket Pods"", 2], [""Orion VS54"", 1], [""AS16 NightHawk"", 1], [""Pandora VX25"", 1], [""NS-15M2"", 1], [""C-4"", 1], [""NS-11A"", 1], [""NS-15M AE"", 1], [""TAS-16 Blackjack"", 1]]","[[""Mosquito"", 2]]",6,5,0,1,0,0,0,3,0,0,1,0,1,2,0,0
DDorrr,Friends of RAVE,0.75,17,3,0,0,0,4,"[[""NS-11A"", 16], [""NS-44 Commissioner"", 1]]",[],0,16,0,0,0,0,5,5,"[[""NS-11P"", 5], [""Skyguard"", 1], [""Hellfire Rocket Pods"", 1], [""Coyote Missiles"", 1], [""TSAR-42"", 1], [""NS-44 Commissioner AE"", 1], [""TMG-50"", 1], [""Xiphos Anti-Personnel Phalanx Tower"", 1], [""T9A \""Butcher\"""", 1], [""NS-15MP"", 1], [""Cycler TRV"", 1], [""PDW-16 Hailstorm"", 1]]","[[""Mosquito"", 2], [""Lightning"", 1], [""Xiphos Anti-Personnel Tower"", 1]]",4,1,0,0,0,0,0,4,0,0,1,0,0,1,0,0
Doolync,JJAM,0.75,18,12,3,0,3,3,"[[""Reaper DMR"", 14], [""NS-45 Pilot"", 1]]","[[""Valkyrie"", 2]]",2,11,6,0,0,0,0,0,"[[""M14 Banshee"", 3], [""Ghost"", 1], [""Orion VS54"", 1], [""Zenith VX-5AE"", 1], [""Solstice SF"", 1], [""P2-120 AP"", 1], [""NS-15MP"", 1], [""VE-H Maw"", 1]]","[[""Mosquito"", 3], [""Prowler"", 1]]",3,7,0,0,0,0,0,5,0,1,0,0,0,2,0,0
GosarimanNC,JJAM,0.75,22,5,0,0,0,5,"[[""NC6A GODSAW"", 14], [""NS-357 Underboss"", 5], [""Spitfire Auto-Turret"", 1], [""Hawk GD-68"", 1], [""Ancient Psykinetic Blade"", 1]]","[[""Spitfire Auto-Turret"", 1]]",1,10,1,0,0,0,0,0,"[[""NS-15M AE"", 2], [""NS-11P"", 2], [""NSX-P Tanto"", 1], [""M18 Rotary"", 1], [""T1B Cycler"", 1], [""Orion VS54"", 1], [""Hellfire Rocket Pods"", 1], [""Cycler TRV"", 1]]","[[""Mosquito"", 2]]",6,1,0,0,0,0,15,7,0,0,0,0,1,0,0,0
Heatslove,JJAM,0.75,60,42,2,0,2,30,"[[""NS-15 Gallows"", 56], [""NS-44 Commissioner"", 4]]",[],0,15,12,0,0,0,0,0,"[[""Orion VS54"", 5], [""Ghost"", 3], [""NSX Naginata"", 1], [""Terminus VX-9"", 1], [""Solstice VE3"", 1], [""T16 Rhino"", 1], [""VE-H Maw"", 1]]",[],3,7,0,4,1,0,0,5,0,0,2,0,1,0,0,0
HeavyAssualtKR,Friends of RAVE,0.75,27,5,0,0,0,10,"[[""LA1 Anchor"", 25], [""NS-357 Underboss"", 2]]",[],1,18,2,1,0,1,1,1,"[[""NS-11P"", 3], [""NS-15M2"", 2], [""NS-15M AE"", 2], [""TSAR-42"", 2], [""T32 Bull"", 1], [""M60-A Bulldog"", 1], [""T16 Rhino"", 1], [""Orion VS54"", 1], [""NS-11A"", 1], [""T9A \""Butcher\"""", 1], [""MSW-R"", 1], [""Hellfire Rocket Pods"", 1], [""Auraxium Force-Blade"", 1]]","[[""Galaxy"", 1], [""Mosquito"", 1]]",5,0,0,1,0,0,0,3,0,0,2,0,0,0,0,0
HornetNC,Friends of RAVE,0.75,25,11,1,0,1,7,"[[""GD-22S"", 24], [""Frag Grenade"", 1]]",[],3,12,3,2,0,2,0,0,"[[""NS-15 Gallows"", 1], [""MG-C1 Kindred"", 1], [""NS-15M2"", 1], [""TRAC-5 Burst"", 1], [""Pulsar VS1"", 1], [""NS-44 Commissioner AE"", 1], [""GR-22"", 1], [""TMG-50"", 1], [""MSW-R"", 1], [""Xiphos Anti-Personnel Phalanx Tower"", 1], [""VE-LR Obelisk"", 1], [""TAS-16 Blackjack"", 1]]","[[""Xiphos Anti-Personnel Tower"", 1]]",5,6,1,1,0,0,0,2,0,0,2,0,1,0,0,0
La6,JJAM,0.75,26,5,1,0,1,9,"[[""LA1 Anchor"", 15], [""NC6A GODSAW"", 5], [""The Slasher"", 4], [""NS-357 Underboss"", 2]]",[],3,18,1,1,0,1,5,5,"[[""NS-11P"", 2], [""NS-15M AE"", 2], [""Xiphos Anti-Personnel Phalanx Tower"", 2], [""T9A \""Butcher\"""", 2], [""NS-11A"", 2], [""AS16 NightHawk"", 2], [""Frag Grenade"", 1], [""VE-H Maw"", 1], [""GR-22"", 1], [""NS Decimator"", 1], [""MSW-R"", 1]]","[[""Xiphos Anti-Personnel Tower"", 2]]",4,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0
Lsien,Friends of RAVE,0.75,8,1,1,0,1,1,"[[""NS-11A"", 8]]",[],0,22,6,1,0,1,4,4,"[[""NS-15M2"", 3], [""NS-15M AE"", 2], [""NS-11P"", 2], [""VE-H Maw"", 2], [""TAR"", 1], [""T16 Rhino"", 1], [""NS-357 Underboss"", 1], [""LA1 Anchor"", 1], [""Hellfire Rocket Pods"", 1], [""Orion VS54"", 1], [""Light PPA"", 1], [""Ghost"", 1], [""M14 Banshee"", 1], [""MSW-R"", 1], [""M60-A Bulldog"", 1], [""NS-11A"", 1]]","[[""Mosquito"", 2], [""Scythe"", 1], [""Galaxy"", 1]]",5,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0
