name,rank,kills,vs_kills,nc_kills,nso_kills,teamkills,headshot_kills,vehicle_destroys,deaths,vs_deaths,nc_deaths,nso_deaths,teamdeaths,self_kills,self_deaths,facility_captures,facility_defends,marksman_ribbons,killstreak_ribbons,bountycontracts_ribbons,repair_ribbons,squadleadership_ribbons,pointcontrol_ribbons,piloting_ribbons,healing_ribbons,spotter_ribbons,objectivesupport_ribbons,savior_ribbons,reviving_ribbons,logistics_ribbons,resupply_ribbons
13zai,Raven,12,6,4,0,2,1,1,51,23,22,4,2,2,2,7,5,0,0,0,1,0,1,0,0,0,0,1,0,0,0
AUT0KRAT,NCO,16,13,3,0,0,0,14,3,2,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,1,0,0,0
AUTHORITYDOCTOR,Raven,32,13,18,1,0,8,2,50,28,20,2,0,0,0,6,5,1,1,0,1,0,3,0,4,1,0,1,3,0,0
AcerbicMaelin,Raven,37,11,23,0,3,10,7,84,22,49,1,11,32,32,3,3,0,0,0,0,0,4,0,0,2,1,1,0,0,0
AnomalyOfGaming,Roc,99,30,67,1,1,44,0,73,27,44,1,1,1,1,4,2,2,3,2,0,0,5,0,3,1,0,2,3,0,0
Aralos,Raven,40,13,22,2,3,7,1,37,14,21,0,2,1,1,5,3,0,1,0,0,0,3,0,0,0,1,0,1,0,0
BigSugarSouffle,Recruit,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BingTR,Caladrius,95,37,55,3,0,40,2,53,17,30,3,3,3,3,8,7,1,3,2,0,0,4,0,6,3,0,2,5,0,0
BuggerRat,Caladrius,66,26,33,3,4,12,6,64,26,33,1,4,1,1,6,6,1,1,1,0,0,4,0,0,0,1,2,0,0,0
CambellAofTerranRepublic,Raven,53,22,29,0,2,8,18,56,16,35,0,5,35,35,1,4,0,1,0,0,0,3,0,0,0,2,1,0,0,0
ClarenceZer0,Raven,10,4,4,0,2,1,1,6,3,3,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DEADEYE245,Recruit,4,2,1,0,1,0,1,25,14,9,0,2,0,0,2,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0
DeadWatcher,Raven,12,4,6,0,2,2,2,42,19,20,1,2,3,3,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
